dog_id,hs_condition,days_from_present,months_from_present
88130,908,1146,37.68
88130,1118,1146,37.68
55022,410,902,29.68
55022,1113,2760,90.68
87785,1622,933,30.68
83034,298,1876,61.68
83034,306,3247,106.68
83034,1617,3763,123.68
83034,1801,3551,116.68
60656,306,2151,70.68
60656,608,1452,47.68
60656,1211,1421,46.68
60656,1312,1268,41.68
60656,1627,4008,131.68
60656,1801,1360,44.68
28297,1801,1086,35.68
42588,201,1330,43.68
42588,1106,964,31.68
42588,1198,964,31.68
42588,1312,2060,67.68
42588,1634,5743,188.68
42588,1701,4617,151.68
71971,1598,3459,113.68
71971,202,3459,113.68
71971,209,933,30.68
71971,405,1268,41.68
71971,409,2729,89.68
71971,412,3459,113.68
71971,426,3459,113.68
71971,709,994,32.68
71971,712,3459,113.68
71971,798,2821,92.68
71971,1106,3459,113.68
71971,1108,3094,101.68
71971,1110,3459,113.68
71971,1112,964,31.68
71971,1113,3459,113.68
71971,1306,1299,42.68
71971,1410,1299,42.68
71971,1617,2821,92.68
71971,1902,2729,89.68
65399,305,1146,37.68
65399,1098,3702,121.68
48945,1617,1146,37.68
